titolo,autore,prezzo,categoria,link_acquisto
Abundance,Autore non disponibile,$15.99,società,https://www.amazon.com/Abundance-Progress-Takes-Ezra-Klein-ebook/dp/B0C7RLJSQD/ref=zg_bsnr_g_3377866011_d_sccl_14/144-8079262-1038557?psc=1
"Brown Chicken, Brown Cow!: A Farmyard Tale of Love (Banned Children's Books for Adults)",Autore non disponibile,$11.69,società,https://www.amazon.com/Brown-Chicken-Cow-Farmyard-Childrens/dp/B0F316Y8K2/ref=zg_bsnr_g_3377866011_d_sccl_15/144-8079262-1038557?psc=1
"Uncharted: How Trump Beat Biden, Harris, and the Odds in the Wildest Campaign in History",Autore non disponibile,$25.19,società,https://www.amazon.com/Uncharted-Harris-Wildest-Campaign-History/dp/B0DJH9Z94V/ref=zg_bsnr_g_3377866011_d_sccl_16/144-8079262-1038557?isALC=true
Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection,Autore non disponibile,$14.99,società,https://www.amazon.com/Everything-Tuberculosis-Persistence-Deadliest-Infection-ebook/dp/B0DJX3VP68/ref=zg_bsnr_g_3377866011_d_sccl_17/144-8079262-1038557?psc=1
The Echo Machine: How Right-Wing Extremism Created a Post-Truth America,Autore non disponibile,$19.11,società,https://www.amazon.com/Echo-Machine-Right-Wing-Extremism-Post-Truth/dp/B0D8JPWZHK/ref=zg_bsnr_g_3377866011_d_sccl_18/144-8079262-1038557?isALC=true
On Democracies and Death Cults: Israel and the Future of Civilization,Autore non disponibile,$15.99,società,https://www.amazon.com/Democracies-Death-Cults-Israel-Civilization-ebook/dp/B0D4CBP9VW/ref=zg_bsnr_g_3377866011_d_sccl_19/144-8079262-1038557?psc=1
Who Is Government?: The Untold Story of Public Service,Autore non disponibile,$15.99,società,https://www.amazon.com/Who-Government-Untold-Public-Service-ebook/dp/B0DJ6NFLJJ/ref=zg_bsnr_g_3377866011_d_sccl_20/144-8079262-1038557?psc=1
How Countries Go Broke: The Big Cycle,Autore non disponibile,$17.05,società,https://www.amazon.com/How-Countries-Go-Broke-Cycle/dp/B0F1Z6KM41/ref=zg_bsnr_g_3377866011_d_sccl_21/144-8079262-1038557?isALC=true
"Autism Out Loud: Life with a Child on the Spectrum, from Diagnosis to Young Adulthood―Moving Stories and Parenting Lessons Le",Autore non disponibile,$23.09,società,https://www.amazon.com/Autism-Out-Loud-Diagnosis-Adulthood/dp/077836836X/ref=zg_bsnr_g_3377866011_d_sccl_22/144-8079262-1038557?psc=1
The Illegals: Russia's Most Audacious Spies and Their Century-Long Mission to Infiltrate the West,Autore non disponibile,$17.72,società,https://www.amazon.com/Illegals-Russias-Audacious-Century-Long-Infiltrate/dp/B0DCDGKQ57/ref=zg_bsnr_g_3377866011_d_sccl_23/144-8079262-1038557?isALC=true
"Uncharted: How Trump Beat Biden, Harris, and the Odds in the Wildest Campaign in History",Autore non disponibile,$14.99,società,https://www.amazon.com/Uncharted-Harris-Wildest-Campaign-History-ebook/dp/B0DJBJGMFV/ref=zg_bsnr_g_3377866011_d_sccl_24/144-8079262-1038557?psc=1
